,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,forests,provide,forest,environmental,needs,economic,provides,review,3,state,local,impact,companies,ecosystem,places
Topic 1,reduces,sales,lease,consequences,opposed,approved,nepa,analysi,chance,careful,existing,easy,speedier,allows,unfairly
Topic 2,regina,paper,drink,eat,purport,decimate,reaching,start,making,land,touched,pray,things,decision,wisdom
Topic 3,county,board,evil,invasive,numerous,bring,commissioners,attached,inconceivable,letter,mesa,foraging,tongasswhich,disrupt,majoritywill
Topic 4,roadless,tongass,areas,rule,wild,wildlife,forest,area,salmon,management,percent,lands,public,fish,acres
Topic 5,rule,roadless,public,alaska,choice,including,alaskans,economic,support,1,alternative,action,lands,annual,far
Topic 6,forest,heritage,service,maintain,leasing,job,lands,protecting,blm,receive,intended,stipulations,achieving,protective,apply
Topic 7,damage,wildlif,opening,create,costly,endanger,salmon,market,national,says,public,ecosystem,lands,forests,thriving
Topic 8,wiley,poisoning,cross,juliana,american,pambid,erlinda,inhabitants,eliminating,having,trees,borden,environment,country,tumpson
Topic 9,public,tongass,roadless,rule,lands,forest,management,land,areas,wildlife,national,wild,comment,percent,fish
Topic 10,ruining,stop,america,party,golden,rest,goose,republican,paid,mistakes,sustainable,just,money,extraction,natural
Topic 11,written,manage,36,adjacent,aspect,cfr,chumash,terminate,228,owners,consistent,mandate,sincer,purdue,legal
Topic 12,roadless,rule,tongass,protections,alaska,intact,national,rainforest,logging,alternative,place,forests,value,timber,fish
Topic 13,pollutants,mitigating,pleas,talk,speci,depands,lossing,expansion,offs,forests,beings,national,climate,rule,important
Topic 14,public,land,comment,rule,forest,crisis,usda,gas,oil,environmental,leasing,decisions,national,plans,periods
Topic 15,forests,national,natural,public,resources,lands,rule,new,clean,oil,gas,need,drilling,energy,environment
Topic 16,forests,national,communities,oil,development,climate,industry,lands,change,forest,time,rule,protection,fossil,important
Topic 17,leave,child,ecologist,hurt,wes,final,literally,use,tourists,understand,leases,wilderness,outcomes,happy,achieve
Topic 18,certainly,allowed,destroys,gorgeous,prologging,visible,fragmentation,inhabitants,cruise,lone,overfishing,doomed,revenue,coastline,shocking
Topic 19,save,different,years,switch,hemp,experience,reserve,love,absolutely,weve,wife,spirituality,word,countries,5
Topic 20,dollar,republicans,actions,signs,bird,significant,understand,prospecting,teddy,roosevelt,lunacy,play,unpolluted,bald,fragile
Topic 21,carbon,listen,pockets,gas,clearcutting,sinks,atmosphere,recreation,leaves,post,mandate,serve,day,need,wood
Topic 22,forest,tongass,national,forests,trees,logging,need,people,protect,future,alaska,planet,land,carbon,climate
Topic 23,roadless,rule,tongass,alaska,protections,intact,national,timber,logging,alternative,habitat,support,fish,rainforest,wildlife
Topic 24,ted,edward,street,senior,z,construction,opeds,opposing,303,attorney,zukoski,cell,submissions,6413149,center
Topic 25,policy,words,feel,forest,area,values,6,fully,remain,surrounded,resident,mineral,happens,cease,important
Topic 26,plain,land,ca,morro,mendoza,leave,thanks,bay,destroy,simple,mike,rule,roadless,protections,intact
Topic 27,frequent,sadend,benefiting,plus,traveler,love,family,surprised,corporations,consideration,im,lives,tongass,habitat,roadless
Topic 28,role,leasing,usfs,states,dear,united,secretary,proposed,perdue,rule,land,limit,protection,process,forest
Topic 29,chemicals,decimated,additional,tracts,accept,comments,voice,revisions,behalf,referenced,audubon,governing,socalled,resourc,121
Topic 30,taylor,word,fracking,kill,starvation,plenty,forrest,road,madness,virgin,fing,attacks,anti,immoral,additional
Topic 31,don,sell,uphold,dont,sacrificed,theres,exist,think,tongass,national,job,action,regards,im,youve
Topic 32,n,e,change,kern,jonathan,interests,kelsey,public,stop,time,allen,america,forest,crystal,called
Topic 33,begin,woods,steal,worse,thi,death,isnt,living,stop,cause,land,care,earth,need,animals
Topic 34,attach,file,forests,fuel,forest,gas,industry,fil,communities,like,time,protection,attached,national,abundant
Topic 35,firmly,awful,exemptions,hate,idea,waste,terrible,public,forests,national,natural,rule,resources,opening,lands
Topic 36,public,rule,roadless,alaska,including,choice,1,economic,support,action,change,tourism,area,profits,unprecedented
Topic 37,im,shame,maybe,corporate,love,message,forestry,expand,possible,dont,family,sighted,crucially,adore,heritag
Topic 38,greedy,disappointed,colorado,profoundly,mission,spoiled,spirit,youre,bockelman,caring,tragedy,write,deserves,deal,embody
Topic 39,especially,kept,friends,tree,proposing,certain,desire,limited,dear,madness,vital,constructionreconstruction,prohibits,cooling,exceptions
Topic 40,gas,attached,oil,fil,days,90,wilderness,resources,period,0596ad33,relax,incredible,decision,concerns,way
Topic 41,comments,ctia,growth,attached,societys,drought,implementation,products,restraint,englewood,kenosha,doesnt,generations,cynthia,zelma
Topic 42,public,rule,alaska,roadless,national,alternative,action,including,forest,support,economic,1,choice,alaskans,lands
Topic 43,smart,policy,12,untouched,stand,firmly,rul,roosevelt,favor,hallmark,borrowing,dividends,stubbornness,determine,sheer
Topic 44,camp,effectively,backpack,gifted,decreases,gifts,dozens,hike,night,love,pocket,property,available,enjoy,additionally
Topic 45,rule,roadless,tongass,intact,alaska,protections,national,rainforest,alternative,federal,timber,habitat,fish,wildlife,support
Topic 46,oh,piece,plan,business,despite,seriously,corrupt,end,virtually,poster,north,suppose,doi,super,coincidence
Topic 47,natures,matters,repealing,repeal,scenery,elses,repopulation,progressing,replacedat,placed,andor,al,purposes,danger,pace
Topic 48,public,roadless,rule,forest,national,comment,land,tongass,lands,wildlife,usda,million,management,wild,leasing
Topic 49,rule,alaska,public,roadless,action,support,alternative,choice,including,economic,alaskans,1,protect,corporate,climate
