,Word 0,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10,Word 11,Word 12,Word 13,Word 14
Topic 0,public,land,comment,forest,rule,usda,gas,crisis,oil,environmental,decisions,national,plans,interior,leasing
Topic 1,attached,fil,rocky,submit,hes,fracking,construction,opportunity,county,letter,smith,number,room,lumb,elite
Topic 2,stream,tnf,ban,threatened,2018,tourists,visited,acre,impeach,fiords,destination,draws,banned,seek,reimburse
Topic 3,money,tree,trump,green,intent,use,low,people,trails,comments,plants,river,welfare,founders,cooling
Topic 4,fear,humanity,constant,conservatism,tribal,power,evolution,humankinds,differences,repression,intolerance,guns,jeremy,basis,instincts
Topic 5,roadless,tongass,areas,wild,wildlife,rule,salmon,area,percent,forest,lands,fish,public,management,fishing
Topic 6,rule,alaska,roadless,public,action,support,alternative,economic,alaskans,1,including,choice,protect,tongass,forest
Topic 7,forest,forests,national,rule,leasing,role,protection,need,land,services,climate,proposed,oil,places,communities
Topic 8,roadless,rule,tongass,alaska,protections,intact,national,logging,value,timber,habitat,support,place,wildlife,rainforest
Topic 9,forests,national,natural,public,resources,clean,lands,new,rule,green,interests,health,drilling,healthy,energy
